细分行业,平均市盈率,平均价格,总资产加权市盈率,总资产加权平均价格,流通市值加权市盈率,流通市值加权平均价格
专用机械,133.29267857142855,24.790714285714284,140.68736665860405,16.295396671989767,333.71615033866436,23.192580298463774
中成药,163.44909090909093,22.401636363636364,61.66913834100253,23.344971694495023,86.51499855298484,29.17406138559737
乳制品,53.892857142857146,18.245714285714286,37.45992417370845,15.377747234174846,28.86749477917258,15.896949406494787
互联网,133.21214285714285,45.56928571428572,74.3516420233344,35.13720156537259,99.67988470292092,32.956777811833604
仓储物流,120.1275,19.436666666666667,39.62605071170171,30.276402876261105,61.46699949183079,14.981079936555846
供气供热,46.745000000000005,9.709999999999999,28.44189881415055,10.5011858785223,29.256279279812844,9.083817998756254
元器件,166.57486842105263,18.59631578947368,60.17123633334306,14.202349625059258,84.1927405517809,17.416394339052015
全国地产,56.2725,9.500714285714285,27.885894919965793,10.633700484195561,34.552036394508214,10.4921785569707
公共交通,46.424285714285716,11.848571428571429,42.22152955940758,11.326831337810782,49.4642619300106,12.334049416755038
公路,34.582499999999996,12.4675,34.77980776471897,11.12448239484672,33.84071994088461,12.615428058693126
其他商业,256.0775,9.0825,110.26212838533523,9.168583750035136,116.07348512871783,9.399234191452138
其他建材,121.801,13.134,112.88857313018428,12.029543874935596,114.73295716701581,12.745622554834801
农业综合,280.10714285714283,14.14857142857143,382.10168290565764,13.512712855745661,273.5308496201293,16.050917474054216
农用机械,68.52,9.911666666666667,45.679041584569255,9.553463337084994,81.30891504761904,10.236134476190477
农药化肥,137.91032258064516,13.770967741935484,81.46960029884973,11.587756008886883,72.08954394187953,14.072812384449133
出版业,104.34250000000002,20.334166666666665,41.40192497970219,16.54472954944849,50.01339280873699,18.10849138891734
化学制药,152.37045454545452,24.382499999999997,117.7198308036137,18.572437150787213,93.28588323286499,24.235227539046445
化工原料,86.68342105263159,16.429473684210528,64.37174314865948,14.808707489643647,63.9747469934253,16.915512512146183
化工机械,232.40125,14.87,325.31838786183187,12.302517483550838,159.4120635812177,14.489973039766344
化纤,187.2595238095238,9.474761904761905,51.798143133848825,12.185061205556567,139.95607245968012,10.239484386407378
区域地产,83.12051282051281,9.781025641025641,37.117464363411536,11.948253025535147,62.77095014223412,12.554342161498905
